"# Study Name: 40 cycle data",,,,,,,,
"# Study Description: ",,,,,,,,
"# Study Comments: ",,,,,,,,
"# Created By: GUEST",,,,,,,,
"# Last Modified Date/Time: 05-13-2014 10:55:39 EDT",,,,,,,,
"# Number of Experiments in Study: 1",,,,,,,,
"# Instrument Type in the Study: QuantStudioﾙ 12K Flex Real-Time PCR System",,,,,,,,
"# Barcode: LJE04 ",,,,,,,,
"# Normalization Method: Endogenous Control = [U6 rRNA_001973  RNU44_001094  RNU48_001006]",,,,,,,,
"# Reference Sample: KW1_1B",,,,,,,,
"# Max CT: 40.0",,,,,,,,
"# Default CRT Analysis Start Cycle: 1.0",,,,,,,,
"# Efficiency:",,,,,,,,
"# RQ Min/Max Calculation: Confidence Level = 95.0% ",,,,,,,,
,,,,,,,,
"Experiment Name","Barcode","Well","Cycle Number","Sample Name","Target Name","Rn","dRn","Omit"
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C9g3",38,"KW9_1A","hsa-let-7a_000377",3201.38,2022.76,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C9g3",39,"KW9_1A","hsa-let-7a_000377",3237.794,2056.854,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C9g3",40,"KW9_1A","hsa-let-7a_000377",3257.53,2077.231,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A4b5",1,"KW1_1B","hsa-let-7a#_002307",874.108,8.357,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A4b5",2,"KW1_1B","hsa-let-7a#_002307",875.066,8.262,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A4b5",3,"KW1_1B","hsa-let-7a#_002307",877.753,8.038,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A4b5",4,"KW1_1B","hsa-let-7a#_002307",863.7,-3.634,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A4b5",5,"KW1_1B","hsa-let-7a#_002307",871.946,1.153,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A4b5",6,"KW1_1B","hsa-let-7a#_002307",878.062,5.895,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A4b5",7,"KW1_1B","hsa-let-7a#_002307",880.285,8.007,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A4b5",8,"KW1_1B","hsa-let-7a#_002307",890.57,14.577,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A4b5",9,"KW1_1B","hsa-let-7a#_002307",881.706,7.465,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A4b5",10,"KW1_1B","hsa-let-7a#_002307",885.907,8.857,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A4b5",11,"KW1_1B","hsa-let-7a#_002307",885.814,8.255,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A4b5",12,"KW1_1B","hsa-let-7a#_002307",889.057,7.82,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A4b5",13,"KW1_1B","hsa-let-7a#_002307",868.827,-8.012,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A4b5",14,"KW1_1B","hsa-let-7a#_002307",886.092,3.285,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A4b5",15,"KW1_1B","hsa-let-7a#_002307",889.15,5.498,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A4b5",16,"KW1_1B","hsa-let-7a#_002307",881.984,-0.344,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A4b5",17,"KW1_1B","hsa-let-7a#_002307",892.146,5.894,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A4b5",18,"KW1_1B","hsa-let-7a#_002307",890.169,4.858,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A4b5",19,"KW1_1B","hsa-let-7a#_002307",899.435,10.883,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A4b5",20,"KW1_1B","hsa-let-7a#_002307",897.891,8.778,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A4b5",21,"KW1_1B","hsa-let-7a#_002307",892.609,2.009,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A4b5",22,"KW1_1B","hsa-let-7a#_002307",880.594,-8.17,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A4b5",23,"KW1_1B","hsa-let-7a#_002307",894.956,0.783,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A4b5",24,"KW1_1B","hsa-let-7a#_002307",890.076,-2.31,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A4b5",25,"KW1_1B","hsa-let-7a#_002307",898.539,3.065,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A4b5",26,"KW1_1B","hsa-let-7a#_002307",899.96,2.53,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A4b5",27,"KW1_1B","hsa-let-7a#_002307",886.246,-8.743,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A4b5",28,"KW1_1B","hsa-let-7a#_002307",897.087,1.859,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A4b5",29,"KW1_1B","hsa-let-7a#_002307",943.046,37.435,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A4b5",30,"KW1_1B","hsa-let-7a#_002307",924.453,24.758,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A4b5",31,"KW1_1B","hsa-let-7a#_002307",918.77,20.134,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A4b5",32,"KW1_1B","hsa-let-7a#_002307",950.675,44.584,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A4b5",33,"KW1_1B","hsa-let-7a#_002307",952.312,47.366,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A4b5",34,"KW1_1B","hsa-let-7a#_002307",949.285,46.344,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A4b5",35,"KW1_1B","hsa-let-7a#_002307",976.557,66.881,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A4b5",36,"KW1_1B","hsa-let-7a#_002307",974.087,66.174,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A4b5",37,"KW1_1B","hsa-let-7a#_002307",974.21,67.951,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A4b5",38,"KW1_1B","hsa-let-7a#_002307",1008.061,95.27,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A4b5",39,"KW1_1B","hsa-let-7a#_002307",1017.821,104.913,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A4b5",40,"KW1_1B","hsa-let-7a#_002307",1015.381,102.384,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A8b5",1,"KW3_1B","hsa-let-7a#_002307",894.306,35.303,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A8b5",2,"KW3_1B","hsa-let-7a#_002307",876.481,18.79,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","A8b5",3,"KW3_1B","hsa-let-7a#_002307",882.141,20.79,
